puuid,leaguePoints,tier
cNF848LI-UGSF59w4E0HJ7nW4Ia6ykMl_3KhgIQn347NO4Q2CyzpxvzrHtpW91d6DkcFk_LFYzQ58A,1775,Challenger
AJRNXyyBy8CYt0dl3Nze-EFqTYMTbYtNFQziAV3TuAYLVruiS9KuBDtQ2g43zPsD9TgMlm1CSJs84Q,1765,Challenger
lmjxNkxwMaBU6d6LG9jGj2VfIIHrxaf8LubwGrhXtSJ_nPCyH2osjP5qANOdrmBlnBrjYaVN9fe4bA,1733,Challenger
9GgkL-cqGiAx2I16R7gbEHypMqhggeSrZsXz1SRz7ggYC-_qdJ8VpPjOUvLqDWib9_WweaJLAkcgSw,1695,Challenger
ihErXRxZkIbmoavetRr39aDrJSFH0-1N-_Km7n-SRxRiS0B04dMotRnP0gImeaKuz2hYccyg-__3Dg,1680,Challenger
hXDmGEH59mUnfrg-lBRC5kDINDWpV3Tmak0DjKvBFJoA9J0kaAinvdMz7aQtSFyGkLJI7NEep_6w9g,1582,Challenger
7lWrVhOcwj9Pvr6jfpPqADmiGWcjB7UlmE24IVN88zrELGX5v-vW2Kj_-JAa-VjzUoAS8fPH5RvlTg,1577,Challenger
EI8gUGAXcbn273kKDni6QrIs2VibI2oRnj85rOn5fxN4JwrfvnEwJ4iRgTkICobi3xVD7RLS7B__GQ,1576,Challenger
QMdG5lDNycdc6-AIN88kqNUAoaLToskZaxRndwLFGTF9rwRrfx92S7ZD8bpS8LY99FwFBqBMgTX0jQ,1570,Challenger
Z7hlitmRN3shSpY7UlXmR1jF9FKYDstw1zhJ4XWtZJBKFiuSZ0Bvttmobq5bOVmDb3PokAahjl0xKQ,1554,Challenger
fyIy99Fr6QX6JYirgx6L3Ij_gvTQAGWNl-KQ-nABOfKwCj287smAilVS3xJDAkla6zwW0w-fH4dL_g,1528,Challenger
YRJGTOxDLiZR-gVhTcU_uFOapFpN62A7S5TgjTJcprjfZWwtBXzVAvvPFnwCCC-9nMNit6s2QVammQ,1521,Challenger
FqhcwWpiAuVoHpMza3nrjwS4Xo9PVMYEmMPsl33JfD5a3HjpSaS1gNVqU1QYxyHB2WZGtkomeCh_gQ,1517,Challenger
SWPpZrL93pXfSU3DNQSYg5Grzxwv63qMmQVBAvwIoyYhrijJklKWTH_KbTWUNaWG7UbWNW121YXjCg,1515,Challenger
J_jcM0Ny0uIlhyUdFR01UhVWRBVFgPGP7mOttJJ6hw88-B2h4Ssgc8evZzNOHkDAVO7b7flhEc4L8g,1513,Challenger
nDeThN-5l_YFlwlHpJAd4Qr7aipoBJoirV_PLobVqvOX-1HwvY2Qb5H4Ap72TdWh2ytyO-H8fRH6WQ,1495,Challenger
O4kQVUpMvEZbmPX_TONh72X4NZgOdgH0m3ZVf3T-IOFipdlJYCeJWk9SAcBdcybwJWSPJMc_pSXQwA,1493,Challenger
jIeOaE66qby2EpEFGmvpZVWRjHCzaDav_kG-g4ESY1RmFbryOdx0OnAjjvB9hUvr0By2HXv37MVlNw,1482,Challenger
lJs94fGHNnwH-UVrWtgNM6iU5pgaDlj6jdJNq0_o5cpfKdP0mIGaBt52lK60W7nnDgtX5QYDReF3KQ,1478,Challenger
7E2SYLKVZGVSlQGGIepyqKbhRSIrlhr0g4RNHMdFOq-nFO5jsyOnNmP_v0Wi6_duaO5eOlfPEknMvQ,1475,Challenger
6kpcRoruacwEuqNBReTaqDywJvKx-It1XEGe6F4-NdEUq4PNNuiBuSSq7YnaVJuvrT6MXeGROtgT-Q,1474,Challenger
uR7Z549Wnx_f5RsztNAwHFI8NCKDOcY0rqZAnt5vOFtvBR6vNnuB5ehoBoWj4EWUOKM4m5O11Y81aA,1459,Challenger
Jp96c0tD_sBQbjDxDHWMYta8r9173sm70hp2jIE5jeBaCqM_erjvsEX6PTuU7vtPfXoVGohcBqTDfg,1456,Challenger
8NydjoUk7lPNtm6RdQSjHepkDHhRWON8VqdrPtTKIALx3fB1hxUv0VWmCxHIrej-H6zJnjvM8uzdew,1456,Challenger
fhTkWf40YNzEkruzMSsMxM9lbv1DfyO2AMKr0pt3YdUw-HYf_kDdlCP641Ghk7jFx7xEd3rz6Ui3og,1449,Challenger
VBHfFPgaUaMPT5U0Uzl5MtFkf7nodh3VoL4Sn8XxtOg8HObA7uZkDYQgsgtqsVlOxqest-s-DnkDlg,1448,Challenger
kDUz5Qn4JWSM2zQ4FK3PjAfiF2Cbi5K-ekY-SMAvlAuheYnZ1gNuNQY8IO72gWxAttnaXrinyIgf_g,1443,Challenger
k9iFvM6BNTBQV7g7N09Kc6Rh0KoPDBNZ2vodMExv38FC3b0e3hA0f-oTo1luLpLxvfXBPucB2f1V1g,1429,Challenger
UtmcGRo9tKNRw8CQ-5WK5wH1hSoqM2Y2y-Z9Z5de7LTKiyott6W4YeiRdnYcRlu6mVtMEleX9mmSmA,1424,Challenger
4M8-7BCtdS4RHW2yEKK1g85Avq2RM54a_UdfuyjqO7hcAOFyPjDp4NPf4LvVCtBeU5iaFIj88VdEgw,1422,Challenger
sqLS9R6gayqA_ses7pyu0XiL9pLP7GECAGI-QexEqSmxllxfyiaaVoZLAC6fwfd3Fp70CcDGl9rB0Q,1421,Challenger
Z4TDXv2VOkzomcIjdw6vTTJ43E2b1TrMVQGae8LyYIoVbfG_8kZz6WgRHejISxX2cz_o2ST7v0sq-Q,1419,Challenger
ZiiHpgAsW4bNf-D_wwNenfV7Ffq5GLmTxq1NnysHcoO4x2dI1YvSBjgTUQ2y8EoZOc_4ol3srio58Q,1419,Challenger
EM2UUs4zNm6LQ4rgqZrJKA0yhB08CEffTWq1medh9U-xOWp5fJ3ofS1ia1iuY4gm0mQrxBLWeWoR1g,1415,Challenger
q6aXuS4-0j6egeIPkctv5pRfQStx761YASMNCH4WxiIbKr6tK6lLzRD6UCwVGbPFB6o9Ri4137VSWg,1411,Challenger
Dd17jyFyrOPLXFB_bYpB1nxdF13Lrr06lqZC_mFU510tfc-u1tzhrizTFpv5VdTFiWF1ouVOZ0ZCLQ,1409,Challenger
X7a_vms0s5qHv_P1Xo5ShLjayQhqIsAEz214h5xXPODKWTlNLZBTDd5xl_rukjCo3yZ8sLZicprVAQ,1405,Challenger
xmkgzADnL8XUj2Wn-3-ngHRKrVqpMGZCUfoZgWD7kOxwIzxJgQqEic92irr68V4cjxuKlT1tO3-Zag,1401,Challenger
RjSmVNKTHbpvytFvvaQN-yBEEA6G4z97i_OOmhaoU8SZKLaajW6AEw7Tj_uHSmKtwKeuwTZn3PVaHA,1400,Challenger
NsMAxRlEeePxQjA8GaC1u-12Cm-QhzAFJGlusdDSff_K3WOkiec9OBiQB_O7v4zeTPhGAAbyFsc8mw,1387,Challenger
jjd0iNZtpsJEu5Z5W5oAtUB2aCGdVOhFrjjuHPsgdOP0ijAU9elJxYtsZem3iUY--32xOJ_4WNUKgA,1382,Challenger
qjM1uLIzw_LS8RMG12UR5n4fg2k0TZ93-DQNAUNsIil9xkrC5ANEwUCnEYbDAL7icVkP33G_V5A9pg,1378,Challenger
DNFvs8zu-ab55badYeoJ3sXIipD31SW8QtaaUm4zAyx6S8fjoRJsBSyJZ3UMDLFB8oX7BiMB3JuzUA,1378,Challenger
5fU1IwzJMqgIoT_ywuYPStHo3XImKC9qR6ML-gcMwPKAcKj69A-fchbK6mW-wy9cj-FwXW65RPU8fw,1370,Challenger
t8h72X37xPEdig9OeyhL7W66QS-OqxRspmq8OrwUrtELKJvPLFhmTLqRNPxEcEMfOfrnBikGse6Aww,1364,Challenger
ajRWZPcZHngs49sg4tXedEytCIpqJ2PM7eK8AwO6RaAaTaJpWEeo1ahApscDAk_DKGouqPchirvw2w,1364,Challenger
DyKTQFgnNpsfpJHm4XEbVj5uRvv37_67aPeL9X5K-KcSlga5N9DNRFC_BkQpABafTwW8fuAPvLS_lw,1364,Challenger
pk0qHWK-pztx31FHtFw9ZDu1VvIHbiFFhC6OyH659pIO1BZNyBFaxpKipP2NVP3OTGHy62_Gv0kTxg,1358,Challenger
c26NU3tk-pPj8d5C1rfU-pNSMDhBhQVbFuZIoyuQ00myJIv7WehAXzyU3xce4LuBT1v3L0PJ0s56sA,1354,Challenger
RXN0N9eS01nKA_l4iHUZfdF9ncrMmwJvDiBUajeDObttuR_aynUMhI702QO6mW_Ukgnvm2PZqyOqzw,1353,Challenger
uIzyAjDosSAEZUrq9BSEzYcz2i4hkuGZWMMfy2dDKjwxXTbMgSWyq0XsnTRkvoPbULrlLLgNKAdI6w,1352,Challenger
14gCX9jYV1-FIjjMAx6pGgS36hHGx_WTnQc4Imp1saOFPwez1BSz3npYtkpc8mcrI-coyZ1cuIU-uA,1348,Challenger
cjnqQshO3EZoK8-T6PhkHDW3BVqhqlR1fCZOKdjf4zFf1Z8n7kdwE0fZ1wuHTVk4ebIexSevXnQD8w,1348,Challenger
R63bpps_u0RPVumf2rF9p94KWCtZ6-NatLzYqpYqUnHnP0rY-LZiiDolYCN3Kk-JbzXmhGpW3g9dfw,1347,Challenger
MVOeqLW-Rkg_wLj6bYbIJsJTgCAywVDMvbXgaa6Vg68-RlwtMmLDNHtzaXHlX0OPxOss4zilClhKsA,1341,Challenger
uEFL7MTuCE8EE3IikdMo9Rfhf1X8cWXYZehb0EVLv2077ZLXsWrCvPw147VtKbY5t0sOI_bC6rQsgg,1335,Challenger
ZbssPcu8PHvpxo2gQMKdlLTZPTrZ4Wltt1utuB4KkcOeMNK-QfkqKkJMBE9LtZ1o_qrMyZ8ejyRRPQ,1334,Challenger
xEDh_xS6nRlNykiegHd52EGTUR5oaHt-15yLZGiV1j9TmLHB0W8Y5U_R_q329LhNAHe9Btl83Pr8VA,1333,Challenger
dnsoT4lfM1kANa9vfdHwDRC6rRNWD46AhBlkcw-QEcKRdADU8mJV1Z5v0zLVfTOidT5FAcFmy5QmMw,1330,Challenger
Plz0G2RnALNCnJ_lLYiLE7079s-ixW29iP6PCjWUWc-GdBYkIOSzJOgxtk_M_hHia--VN7qkT2-Qfg,1327,Challenger
TXt6lfI3djqvu8KPFRLKpSKTksnOyUXZvjWwNu3j0w8wQ2wWR-QKD1ZN-jinoiIhBw_NhtlKIlfs1g,1325,Challenger
QCFHKsrN-953872_eh9RcBuvtT0EcALtKuhSzsgg90F9p-z4d7ICgoYuXsJ9sSrda_3PAUiHpk2crA,1324,Challenger
UuwFqGuP5rvTvjRcctDjX6fio8_M5H7Out6W5mFKZzs0XECPtPtrYmv4u54aXN_vDG8t6ZaSzjcUOA,1322,Challenger
kG5Jqy1HHgpFpOrYnBhhOo7wATIUHrtDnAR2BOsHfWorJn68OgljaA2bTRhN_Q6CbBBxGjzVP1dN4g,1320,Challenger
RJ81AQHRDZ_K4ZfhV8-GgcSlbZL7nQxTDivAldjtNBp0J-aBj4Ah7zfTS9bZKxUFLfsyiXXzz14WuQ,1318,Challenger
fsj60ZNoqeU2Pbtz6BhFDgaRNWgLmaAPi39OMiJv4zB-xY4Q1bKCp8Qq5bqRzsY6vU5Y4jWohIzW3w,1317,Challenger
rxU0aTNnMogvAra1HafOK6Y1vfuuleqS1YRy1JNaDPn44Mn0TVAFqKi9fbeS8aw8VaBLrV_aq1FTTg,1313,Challenger
