puuid,leagueId,queueType,tier,rank,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,division
qX8JH94mWwYN0CKJWhrKuAAZVMiqWkSBSAbrnpRESlpMZwpCBmAIgW1oGoIS6gjqeZkIp7ndvonVOw,369cf9d2-d54d-488d-a737-1a33c2176a1d,RANKED_TFT,IRON,I,80,3,4,False,False,False,False,I
i2p86dN8AriyeAzfiooyFW_0_rjYmJVeEW3O-b23TzUGHlMzEnDnKaXdy0UAOHfmMSBIIXgOBOGboQ,78f67924-7f55-49c0-a3ee-bf3e3078d31d,RANKED_TFT,IRON,I,79,3,4,False,False,True,False,I
nybVP9VGEC2BT-5IPXhpPfjusYePhmp3MeDFul-LNq1ljJUEhnrfgILjX253c4QiH7denejjpBX8xw,bb9f156b-810f-4205-b63c-6d94cc4b4667,RANKED_TFT,IRON,I,73,2,4,False,False,False,False,I
4_TACmuTQh9fIKypYz2pY5momjI3-TwM3v5sx3m74130SBcMN2irQW5jvedLlYxcOCrD7A0BMZ1qAA,010cfeb1-5381-491b-9c27-cd82dfb9a63e,RANKED_TFT,IRON,I,52,2,5,False,False,False,False,I
BuwGt1H_EKVeTCdxGCMMbhntnz-OFenZ85nCuyQZLKHiIlJY55zURHuchcLFagMXnYpua1Hn70zEoQ,bc11d93b-f970-40e3-b6e6-4580d8a15bf8,RANKED_TFT,IRON,I,26,1,6,False,False,False,False,I
KMQ_nLkcyX0z0Sc1_jikrzO7FvczNYDRxkep6UiuFaMhL4ufV8ppnqMJ6RpfrnAMJMqh4aWIRE7RqA,910b0be2-b10a-40ad-ad67-5eb8a1f146ad,RANKED_TFT,IRON,I,15,1,5,False,False,False,False,I
jCnYc4nCDAjuHfL1JJptrTBb_RzrNcdkw434Y59Xm0A6F-DCrkZOzJlnr08SuPL1xZwOD6mjGrIeIg,c1dbc913-01ec-469c-8b37-7dc915743f87,RANKED_TFT,IRON,I,62,2,6,False,False,False,False,I
lQMEFmFN7F49LGJB0mnKKaXZqOTYYDCKLYVhbGNLIDNcokIPdtUOZ1IChzr2_6pVsVUR6AySY8ukrQ,87f4cd23-5c8e-4f82-a507-27282832a1d9,RANKED_TFT,IRON,I,89,2,3,False,False,False,False,I
d4fklmZTvlUBY4GfMRlcKuajKUifkmvyljeLtGjHUUg6eJJZHzcej4NmACRYo37slO4J48_C_PDfSw,fbdf500a-9ced-40cb-b84e-2686f3f56b8a,RANKED_TFT,IRON,I,63,1,7,False,False,False,False,I
0-307I_8bLkYnM4Ong9C8gtVXwFC5b934IGxPprYB_ARTkiCUTxA-XMseFd2YgDgzFEBw832opBKKg,7428bc6b-14bd-4b67-81e6-6ebf43b47b41,RANKED_TFT,IRON,I,13,1,5,False,False,False,False,I
