puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,riotName
cNF848LI-UGSF59w4E0HJ7nW4Ia6ykMl_3KhgIQn347NO4Q2CyzpxvzrHtpW91d6DkcFk_LFYzQ58A,1775,I,288,138,True,False,False,True,Challenger,ROC Panda#Panda
AJRNXyyBy8CYt0dl3Nze-EFqTYMTbYtNFQziAV3TuAYLVruiS9KuBDtQ2g43zPsD9TgMlm1CSJs84Q,1765,I,293,190,True,False,False,True,Challenger,Kanata#TFT
ihErXRxZkIbmoavetRr39aDrJSFH0-1N-_Km7n-SRxRiS0B04dMotRnP0gImeaKuz2hYccyg-__3Dg,1722,I,446,311,True,False,False,True,Challenger,만어리#만어리
9GgkL-cqGiAx2I16R7gbEHypMqhggeSrZsXz1SRz7ggYC-_qdJ8VpPjOUvLqDWib9_WweaJLAkcgSw,1695,I,339,235,True,False,False,True,Challenger,엘무무#KR1
lmjxNkxwMaBU6d6LG9jGj2VfIIHrxaf8LubwGrhXtSJ_nPCyH2osjP5qANOdrmBlnBrjYaVN9fe4bA,1605,I,515,247,True,False,False,False,Challenger,띵 땡#KR1
hXDmGEH59mUnfrg-lBRC5kDINDWpV3Tmak0DjKvBFJoA9J0kaAinvdMz7aQtSFyGkLJI7NEep_6w9g,1582,I,671,484,False,False,False,True,Challenger,MessiOfTFT#KR1
7lWrVhOcwj9Pvr6jfpPqADmiGWcjB7UlmE24IVN88zrELGX5v-vW2Kj_-JAa-VjzUoAS8fPH5RvlTg,1577,I,348,246,True,False,False,False,Challenger,zxc12345#123
EI8gUGAXcbn273kKDni6QrIs2VibI2oRnj85rOn5fxN4JwrfvnEwJ4iRgTkICobi3xVD7RLS7B__GQ,1576,I,120,52,False,False,False,True,Challenger,T1 만디#123
J_jcM0Ny0uIlhyUdFR01UhVWRBVFgPGP7mOttJJ6hw88-B2h4Ssgc8evZzNOHkDAVO7b7flhEc4L8g,1574,I,311,240,True,False,False,True,Challenger,개소리 한소리#KR1
QMdG5lDNycdc6-AIN88kqNUAoaLToskZaxRndwLFGTF9rwRrfx92S7ZD8bpS8LY99FwFBqBMgTX0jQ,1570,I,263,167,True,False,False,False,Challenger,피부미인드록바#KR1
WDGAMdvD_O3fHFVYtEvGwzmgynGexVZkLoK4o1BxHuMFz416r6OplZB6iBARuCsWhRtmsLNNdK28fw,1202,I,475,403,False,False,True,True,Grandmaster,재스이#123
TbL3PrmpuzmHGjlCtd5hyIGrerDLh-00BahT_y7pq-KwcUUyJdJ4zNZRVWQv9U25NcZr9eQ_vqOO5w,1192,I,323,239,False,False,True,False,Grandmaster,치지직연쇄삽입마#kr123
KDnvNLFz9qUsOn1IRh9v9HaPh_4jz5VwERckQkP226XDX8qx4jgU7ua9R3ILJj-rpkvgtxMMmRg6Tg,1185,I,502,352,False,False,True,False,Grandmaster,김준민#0213
4fDe9iE_HSRvy2CMzJg-b8078rA5-15Y29D5y_FFL2CvdxqyndkXBgTXEAS3PbovhwTAIRDaS6PdEA,1148,I,508,456,False,False,True,True,Grandmaster,김애용#기매용
Wde6yIcR6htmMEluA2tJMo_C5uIu2FP406dkENCbLLba4OEgjviGr-b3qtxQVFnF-b3IDxaj-vSDbQ,1136,I,317,270,False,False,False,False,Grandmaster,천 검#달을쫓는별
fyV3aEzw40M8O1RL2ZHBjBdSvnmIa2W_qpZCmQ8YmIKDFkna5Mx0eSZUd73zg2lRrLsbbXirPSYPMg,1131,I,285,215,False,False,True,False,Grandmaster,빵지누#KR1
jIvLUV3u1FfdNT3YFPg1j1H0D4t-hJxgptJwqZoOVNEAClanuNq610_8U0B6QSfEJE7EnKBDNjBmVw,1130,I,113,50,False,False,True,False,Grandmaster,컴뱃100#KR1
GPDEaTPAuLX7cZIGyC_TN9TubUwnHfSg82upqv4ByFF5c1-qpseqT0dfDk6YWFmR6nDblMWOErPc3Q,1130,I,259,199,False,False,False,False,Grandmaster,식선생님#KR1
_yPX5NkAMcUgqYRT6UlV920PRCE5cgPFI4NZxK0aMREN871BMarRryxlTnZMc3EVFEyBFFc5N494Yg,1124,I,265,229,False,False,True,False,Grandmaster,따대남#KR1
