puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,riotName
cNF848LI-UGSF59w4E0HJ7nW4Ia6ykMl_3KhgIQn347NO4Q2CyzpxvzrHtpW91d6DkcFk_LFYzQ58A,1775,I,288,138,True,False,False,True,ROC Panda#Panda
AJRNXyyBy8CYt0dl3Nze-EFqTYMTbYtNFQziAV3TuAYLVruiS9KuBDtQ2g43zPsD9TgMlm1CSJs84Q,1765,I,293,190,True,False,False,True,Kanata#TFT
ihErXRxZkIbmoavetRr39aDrJSFH0-1N-_Km7n-SRxRiS0B04dMotRnP0gImeaKuz2hYccyg-__3Dg,1722,I,446,311,True,False,False,True,만어리#만어리
9GgkL-cqGiAx2I16R7gbEHypMqhggeSrZsXz1SRz7ggYC-_qdJ8VpPjOUvLqDWib9_WweaJLAkcgSw,1695,I,339,235,True,False,False,True,엘무무#KR1
lmjxNkxwMaBU6d6LG9jGj2VfIIHrxaf8LubwGrhXtSJ_nPCyH2osjP5qANOdrmBlnBrjYaVN9fe4bA,1605,I,515,247,True,False,False,False,띵 땡#KR1
hXDmGEH59mUnfrg-lBRC5kDINDWpV3Tmak0DjKvBFJoA9J0kaAinvdMz7aQtSFyGkLJI7NEep_6w9g,1582,I,671,484,False,False,False,True,MessiOfTFT#KR1
7lWrVhOcwj9Pvr6jfpPqADmiGWcjB7UlmE24IVN88zrELGX5v-vW2Kj_-JAa-VjzUoAS8fPH5RvlTg,1577,I,348,246,True,False,False,False,zxc12345#123
EI8gUGAXcbn273kKDni6QrIs2VibI2oRnj85rOn5fxN4JwrfvnEwJ4iRgTkICobi3xVD7RLS7B__GQ,1576,I,120,52,False,False,False,True,T1 만디#123
J_jcM0Ny0uIlhyUdFR01UhVWRBVFgPGP7mOttJJ6hw88-B2h4Ssgc8evZzNOHkDAVO7b7flhEc4L8g,1574,I,311,240,True,False,False,True,개소리 한소리#KR1
QMdG5lDNycdc6-AIN88kqNUAoaLToskZaxRndwLFGTF9rwRrfx92S7ZD8bpS8LY99FwFBqBMgTX0jQ,1570,I,263,167,True,False,False,False,피부미인드록바#KR1
k9iFvM6BNTBQV7g7N09Kc6Rh0KoPDBNZ2vodMExv38FC3b0e3hA0f-oTo1luLpLxvfXBPucB2f1V1g,1547,I,674,385,True,False,False,False,고려헬스클럽#KR1
fyIy99Fr6QX6JYirgx6L3Ij_gvTQAGWNl-KQ-nABOfKwCj287smAilVS3xJDAkla6zwW0w-fH4dL_g,1528,I,386,280,True,False,False,False,티치갭 Yugggol#김육꼴
