puuid,leaguePoints
RNW_-lQnloWk5YSLOK5d5ZhYRF9flYepwsQVSjj-tNFvn2Lb1tKDBY-ZPw2brZVuwsOAT44vmZre_Q,1218
2T7bmx0pcfwHXrXQtV-v52kgWp-lx7n8icioDGrk8GTRysh20OEgVYLvhUjePo-0R3DaDCy2gqdtlg,1185
jUnzw31TFzD2xC5Ib1GkuKmHn66VLZQpjzJVU6cT21J-yAcN5MplPrjSNl-m-__td-9D6PX6TbLKWg,1173
hZ2FfYcx-w5IAPrTtK4zf0RWaYA7QkARmh2DB12c5nEVkkzKvnolAfdQKQMDFuHgNjXVdo4p-O2pCA,1150
8NX98uVOmKE-S6SX_18CTy_qIy3Fb8DDy0kpWL2JyHovzp7RZrTHQNaDu5dz6oDpFgv0n8idE8hSSw,1149
z40XDRZEve5vWiICsAiwZp6GNUAv1epoISaxDbpeYzlTcRIM95eRybwjEQAwX3OKD4jALNXJ7wMz1A,1148
NqSzCtg-O30VMxvZzB8aEJlPyqmB4td3CEBosJtqQt5l12LYQ4FcbTGV3TNrxqPixLgO6rGZzrPTyA,1143
EVaRBA4vR2FSeJ8YU2UkvL2rK4p2iPlrHxv09fmUHsk8ImRhD9NZ_9zLA2wF2-Z_I9ydnNWopJVWRA,1137
AtTtSETmkH__kC0-wSv0nAmBwfhBPR8Z-ckYckbagjuOoGKSSUhrjhYvFYrobpcXNynD65evRMxyKA,1133
Y0klEWG4ZlWMLOqz1tU_WhjG_tX4TgyTIwxzrmFuCxLl1p4zOnu2DlDJnscm0YEB61F9xshdGpdyPw,1130
hYRJP1TmHywoY-BXhZtBSW4mjOcQQ9zZvuth8_fR40cIIRGmnJvLbkDE0014etxsLsSjizQE2NwOgg,1130
IYF1S6ycPsoFQnP9GiNsKof7-D1ubSQyanns8wGZY-ut7aK5YoxykjNzCyzzXkLQPw1QDlrYCkKs5Q,1126
iZcn5pnnMUl73wfyqTnuEKeVmXTMJvzmfvPnQuyJ1sKOu6JUG6Tr_E3BcAop49QZX7IpXKXp7nTdQg,1125
U9TkufFYEXS5YzmshgML1cb2XGfW9GJIkmupRWvvNTGklhiihkshdyYjQC642tKKk-lOxZMbl1LqfA,1124
a6XSNTZt9eh8F_kUxYxC-o8h-UxQzWE42RsZVY4PnzvGZGNjGtlZk-2a-STUBk6i8NBX4BdxZDcNIw,1117
vtp5atrxB93M9LJrasoAIOavKslesgtH89JWEf8p2LxLBPiawNK_7r6oZgOtfAIAOmN1P4ag8fO2DQ,1117
6yXFRdsRDxbws3tKydEYGBXEq-pqG1fAErFONs0te9ksxSi4o5ylvIpK8pLVhsL1hDBhwkg5Ka15Zg,1117
iBtixCsO1EUsB4R6s3XSQyQBJgQ90vt4OL36uTNTeqjwohlqBF6xyaOpym2MuffoYOUUXm9QlJMfrw,1116
kvhoJVTc0exKUz_cu8Q_Mz7kvWXQ_VLE-nif-PbmTi6rj1KMRh3IgLgc6Mel-9VG_ZExr8jS2h3cdw,1116
NfTk_WQBEbXV_NtchZnTgQa2bK6rmMAhyYPCMHelgoKbTYf8PWE_Ww0J5JIMeWbcujOHU_te04rHdQ,1115
IgyVeVnvCGWX_Uqztp51pbMStA3PaiMIPp3Zncx29cTbHT9xOrDpU2endV2BFdLYSicZqiYVXRMQCA,1112
w-1ah75SH87wcPAEShR4_P7k_d31juLnZN-pIk3I2Phm_dHMgWYhegnOuyA7VXhm7nP2J0KlGxMhxg,1112
3nuTuNmFV0KjYciD6Z-huCRVVqVBCPYT0eUVyPsGRhy7N7KkNHsJo7JMFGnuCJsxQYVXWLOSu6eScQ,1112
jIvLUV3u1FfdNT3YFPg1j1H0D4t-hJxgptJwqZoOVNEAClanuNq610_8U0B6QSfEJE7EnKBDNjBmVw,1110
iKWuvsx_vvSQnJ-V396w0ujvuVBYoz2sO0csIXozwq9tkN6paLSgP3Tp0vG3I23SlszkhIURbUlk5Q,1110
