puuid,leaguePoints
Hm_uP1HeZItUFA_Q1wty-FG_GvSWcMMKPVScIEWGWmyRo4ntF_JLtj9dBjVwI5yadwYjHFvPbnP2Jw,978
u9t9XJSGtgxG4Oh53RyTV6fzpyAQHnZTgbv1UA-IJ3ph9CDB5nmdWql5yM45ab2rvuQzPsrUTtUx7Q,916
_yPX5NkAMcUgqYRT6UlV920PRCE5cgPFI4NZxK0aMREN871BMarRryxlTnZMc3EVFEyBFFc5N494Yg,887
HKFmOW6-COKZ1njFNtSSmFxtz9OF2Dk5TK7dQngYofKG3AbCjKH2Sdk03vZMXwbYU4HrBTpnQFBYJw,880
s3LL0dyhnbGUcn4ebeon7moHbkJV0J6tzI92j0HaSOu_xteDbsYxcIw_gAHnfTQ2jvvvrKzC5ZS7fw,869
_mThUp3cWh7sWIURQUq3uJBirgzYB6Oxd5vJH6ZyIfZQz1Et9wHBjF6hpm1l3Obr-I_324fGa9POwQ,868
VrGLvdbYTTz-Fxmp8oQn16GrY_u8-XG1yjjDgjMdWpdf1-MSbr3erczrv3qMlwZDVKO3_sWtsxv-Ew,864
406ayI1WZqghrMz38Tgz_avIRHJrcUiv1QYVIGa0zUo1eVAqyLWqmpLXScViJ4tgjo2dUhhOVuB1mA,862
kmVu59toQXXgA7VVtaH_2GZ_Y7sPwoY7bCD0iPDaXFTzWOBdHxmI2Mej2dj0fJJ_frhYq_oNVBRaGQ,860
0F77OBsPQVcT9Ief8mMLKiMNb85F2CpkAAFbjCA_n5y39Qtp8hH6Z5blnqygL3rCBt7xTMxdQMT7WA,860
zUXFvS0CRPvZ-mLG5Nv5C1O_ynK3n9XjS9pPUELL1glwLy26kb8dsDJb1hYaI6602AxgP7lsY75Mww,854
QIoVVjeBnONIdTqjsM-5sItAln4ac0kKGgW-jXR010LTAD3nKfbCqL3Yozjiv8wZfabEY7o9bYGxCQ,854
gyJAF_zoA7RvOnZ5hIzNp2Lwzu0YSE6yIO0nbVHDYfbWnYuJBkqtBATFlNFdNVI131fg81lhKF4KGQ,853
zeTtkUrBevQOHa27nhzGyiETpD3WCR3rsya9uLForYY1JGrNkoaukL80f_a-ps0_UD7qUEsq72AUvw,852
Jxpy_Rz0Awgmxv2WGWCdsu-4QOxPt-k8_hhRvj3r2XX3T-pxaYiuxIq6nUXsaUOVcrqOEdeCv1oeiA,850
Ql4UKXI73AEuK6K7Xsgso9jcGH_XpM0nXOmXJ6iW_NDUAR1mNrROQjnwWnSf3JeSOiBqx43RY9c2Jw,849
udUiJPPs5oeaNnwIg-YNXzZTHI5a80VUE8jqEFn5ZLaUgnsWYK9Nq6zIfRkDXyTpMN46cim4yoQHvg,846
3eI2fAx57XO4t42G1UqEuZV9NH-YtmRK8dN7Stoot7NF5ETLDLTfe7hm-GdzFuPp8KVJ7R0nYgjI6g,841
vUYokpPpz0xa1hj26M2ZTUDkJBi6umggZnPw1BmJKpCxwwQQG-M4I1DcrL9tTB75tYgF4LbWgNVmFg,839
xXzwy457uD75a1BOw7zmoqqeLjGEYAN4IC4epLWWsecNqZAGc6hXcTyFmb6gJeJ5YwXCjw9u9N7Zkg,839
93KQH5ac_nPqqD8yTxw4tgWyIpaXc7bkPFjrZYcGq5QlmJeAZQxrinag8a55cRFFoggPjD22w_-nqg,839
LI_q-4Zwpc86dceYF2noJZBrbNQUdqo14IYo8Cmn7Ki6LgR9Sakbt2Yl87dkvcLb-a_MDmLYxsI1jg,837
TbkYsvqGCdqtCn7SvsUPp5YxMtwQdA6c3ytdxVHlB5LENVmEogsJY6B4XKxMSSNTll-GiBz1QsbTSA,833
o6ZPYZOQSGKvWZUh8R5zNJTjVvtT16dsELFjV0PYm3-7ku-pIjVSxCKd_UUfgiEz3tsWeKAkJOBgoQ,829
w1yj9gEKotYWuGgymoH88jr0KB1-HWQO5TQok2z3kAwRMp6XEGgMuU-XJz_yPTZpfEqCxyWyXCj5Tw,825
-OVTMEgxU6nDG_tkQwAiaIskDQbPIRpjtdEcQsR_k0mmnrKofPGntLEd62w_W1N8TtPlSmYd19cQEA,825
QkOiRajijFx3SxwL5ZmkI3AP6Ur5hkWlf4mYC5xgKCxfM9MogBQv99Vi-YUaa6NTyF_t0Isjp7zQug,825
XTyBfk3qYDDJWlZZcNEz7IChAtDh55b8LYZ9LAZZ65s9CevVYCHrqd_1BQ9rvLJJUP_z4PAS5nl6vQ,823
I0IGF64N8mArDyqwVhsyGn88F8V8O2RYNTFCtA5ZEyNfff6nTgBaf1PUPsq6yT0YuAapEmGgYiSJFA,821
