puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,riotName
X7a_vms0s5qHv_P1Xo5ShLjayQhqIsAEz214h5xXPODKWTlNLZBTDd5xl_rukjCo3yZ8sLZicprVAQ,1804,I,393,322,True,False,False,True,Challenger,바텀그만죽어제발#KR1
ihErXRxZkIbmoavetRr39aDrJSFH0-1N-_Km7n-SRxRiS0B04dMotRnP0gImeaKuz2hYccyg-__3Dg,1803,I,451,311,True,False,False,True,Challenger,만어리#만어리
cNF848LI-UGSF59w4E0HJ7nW4Ia6ykMl_3KhgIQn347NO4Q2CyzpxvzrHtpW91d6DkcFk_LFYzQ58A,1775,I,288,138,True,False,False,True,Challenger,ROC Panda#Panda
AJRNXyyBy8CYt0dl3Nze-EFqTYMTbYtNFQziAV3TuAYLVruiS9KuBDtQ2g43zPsD9TgMlm1CSJs84Q,1765,I,293,190,True,False,False,True,Challenger,Kanata#TFT
9GgkL-cqGiAx2I16R7gbEHypMqhggeSrZsXz1SRz7ggYC-_qdJ8VpPjOUvLqDWib9_WweaJLAkcgSw,1695,I,339,235,True,False,False,True,Challenger,엘무무#KR1
Jp96c0tD_sBQbjDxDHWMYta8r9173sm70hp2jIE5jeBaCqM_erjvsEX6PTuU7vtPfXoVGohcBqTDfg,1669,I,361,299,True,False,False,True,Challenger,오리너구리의꼬리#KR1
hXDmGEH59mUnfrg-lBRC5kDINDWpV3Tmak0DjKvBFJoA9J0kaAinvdMz7aQtSFyGkLJI7NEep_6w9g,1582,I,671,484,False,False,False,True,Challenger,MessiOfTFT#KR1
7lWrVhOcwj9Pvr6jfpPqADmiGWcjB7UlmE24IVN88zrELGX5v-vW2Kj_-JAa-VjzUoAS8fPH5RvlTg,1577,I,348,246,True,False,False,False,Challenger,zxc12345#123
6kpcRoruacwEuqNBReTaqDywJvKx-It1XEGe6F4-NdEUq4PNNuiBuSSq7YnaVJuvrT6MXeGROtgT-Q,1552,I,832,606,True,False,False,False,Challenger,클린유저 홍성하#KR1
fyIy99Fr6QX6JYirgx6L3Ij_gvTQAGWNl-KQ-nABOfKwCj287smAilVS3xJDAkla6zwW0w-fH4dL_g,1538,I,393,282,True,False,False,True,Challenger,티치갭 Yugggol#김육꼴
lmjxNkxwMaBU6d6LG9jGj2VfIIHrxaf8LubwGrhXtSJ_nPCyH2osjP5qANOdrmBlnBrjYaVN9fe4bA,1525,I,518,249,True,False,False,False,Challenger,띵 땡#KR1
Plz0G2RnALNCnJ_lLYiLE7079s-ixW29iP6PCjWUWc-GdBYkIOSzJOgxtk_M_hHia--VN7qkT2-Qfg,1515,I,241,159,True,False,False,False,Challenger,이년만#KR1
lJs94fGHNnwH-UVrWtgNM6iU5pgaDlj6jdJNq0_o5cpfKdP0mIGaBt52lK60W7nnDgtX5QYDReF3KQ,1507,I,284,171,True,False,False,False,Challenger,102#2600
O4kQVUpMvEZbmPX_TONh72X4NZgOdgH0m3ZVf3T-IOFipdlJYCeJWk9SAcBdcybwJWSPJMc_pSXQwA,1493,I,224,138,True,False,False,False,Challenger,근연만화#TFT
kDUz5Qn4JWSM2zQ4FK3PjAfiF2Cbi5K-ekY-SMAvlAuheYnZ1gNuNQY8IO72gWxAttnaXrinyIgf_g,1491,I,304,163,True,False,False,True,Challenger,Mid Ezreal#KR1
0B5zqpQbGM7T2uNFYwoltZBvxW4gBK8cUMMKD_y3ayGDT-RYAmsPQknljbCTLzXl2uzBY0P2lr_Cmw,1490,I,644,413,True,False,False,True,Challenger,메붕이#ISTP
FqhcwWpiAuVoHpMza3nrjwS4Xo9PVMYEmMPsl33JfD5a3HjpSaS1gNVqU1QYxyHB2WZGtkomeCh_gQ,1487,I,172,111,False,False,False,False,Challenger,치킨킹BLT#KR1
pk0qHWK-pztx31FHtFw9ZDu1VvIHbiFFhC6OyH659pIO1BZNyBFaxpKipP2NVP3OTGHy62_Gv0kTxg,1477,I,340,235,True,False,False,True,Challenger,ROC Ssangyeop#ROC
SWPpZrL93pXfSU3DNQSYg5Grzxwv63qMmQVBAvwIoyYhrijJklKWTH_KbTWUNaWG7UbWNW121YXjCg,1476,I,241,125,True,False,False,True,Challenger,종범1#KR1
Z7hlitmRN3shSpY7UlXmR1jF9FKYDstw1zhJ4XWtZJBKFiuSZ0Bvttmobq5bOVmDb3PokAahjl0xKQ,1475,I,338,215,True,False,False,False,Challenger,지보배#KR1
kw3Xrxn3BxwX0ztJLdQ1DfegSvv4WDl31CqeE7khJxJCaYksZpvjNmF_ECtJpxaCy3BppUbE7VnsnA,1475,I,133,59,False,False,True,True,Challenger,steelo of bora#azika
